Worm,SampleID,Sample_substrate,TOC_Initial,TOC_Final,MicrobialBiomassC (mgC gdrysoil),MIBC_ugC,Dry Weight,Nitrate_Final,Nitrate_Initial,MicrobialBiomassN_ugN,MIB_CN,Avg_mgC,W,Substrate,Avg_MicrobialBiomassC,Avg_MIBC_ugC,Avg_MicrobialBiomassN_ugN,Avg_MIB_CN
TRUE,O1_I,O,0.31963135,0.63418356,0.31455221,314.552215,5.01,98.8709175,42.28317,56.5877475,5.558662942,125.4528117,Worms,O,0.37308223,373.08223,39.5811533,5.40331384
TRUE,O2_I,O,0.54623122,0.71984582,0.1736146,173.614596,4.73,67.6840466,22.8921621,44.7918845,3.876027944,170.7771408,No worms,O,0.1717559,171.755895,60.2414971,2.37921793
FALSE,O3_I,O,0.45601946,0.68126109,0.22524163,225.241627,4.63,44.6453875,9.5378485,35.107539,6.415762352,65.04237236,Worms,N,0.149579,149.579004,44.8783145,4.14704256
FALSE,O4_I,O,0.4667479,0.67863983,0.21189192,211.891924,4.94,60.4693273,-1.3825399,61.8518671,3.425796729,53.02116079,No worms,N,0.20521238,205.212378,24.6471361,8.18716493
FALSE,O5_I,O,0.50552984,0.58366397,0.07813413,78.1341348,5.53,79.089364,20.4582369,58.6311272,1.332639138,142.3852462,NA,NA,NA,NA,NA,NA
TRUE,O6_I,O,0.08563637,0.71671625,0.63107988,631.079878,4.78,66.9760545,13.3787122,53.5973423,11.77446215,229.8560992,NA,NA,NA,NA,NA,NA
FALSE,N1_I,N,0.41524358,0.53288787,0.11764429,117.644286,5.12,79.5144943,62.1506663,17.363828,6.775250596,27.80509597,NA,NA,NA,NA,NA,NA
FALSE,N2_I,N,0.4900541,0.7174077,0.2273536,227.3536,4.54,88.2846108,30.1721088,58.112502,3.912301005,30.81972072,NA,NA,NA,NA,NA,NA
TRUE,N3_I,N,0.38399131,0.59345183,0.20946052,209.460522,5.08,140.3403485,130.8193,9.5210485,21.9997327,101.4580141,NA,NA,NA,NA,NA,NA
TRUE,N4_I,N,0.55668426,0.69086959,0.13418533,134.185331,4.64,137.178844,120.454418,16.7244259,8.02331463,169.0807338,NA,NA,NA,NA,NA,NA
FALSE,N5_I,N,0.54243544,0.64617457,0.10373913,103.739127,5.37,137.54255,78.3839361,59.1586134,1.75357604,39.24948141,NA,NA,NA,NA,NA,NA
TRUE,N6_I,N,0.43299377,0.70498505,0.27199128,271.991281,4.62,143.501853,110.932007,32.5698462,8.35101521,139.0232813,NA,NA,NA,NA,NA,NA
