DATE initial_value,DOY initial_value,DOY_round,VOLUME_TOTAL,FCO2_DRY_umol_m2_sec,FCO2_DRY LIN_CV,FCO2_DRY LIN_R2,COMMENT,Substrate,Worm,CO2 initial_value,CO2_DRY initial_value,RAWCO2 initial_value,ETIME initial_value,FCO2_DRY LIN_SE,FCO2_DRY LIN_dCdt,avgnworm,avgnnoworm,avgoworm,avgonoworm
10/14/22 15:52,287.66135,288,682.2,0.01131,1.55685,0.99464,NOR_1,N,F,543.09,548.51,2159675.091,0,0.00189,0.14603,2.823434667,0.848847647,3.11533,1.431192778
10/14/22 15:58,287.66552,288,682.2,0.00579,2.79238,0.96925,NOR_2,N,F,524.74,529.56,2170312.909,0,0.00239,0.13776,,1.97458702,,1.684137222
10/14/22 16:05,287.67037,288,682.2,0.01761,1.57488,0.99432,NOR_3,N,T,530.62,535.53,2163748.455,0,0.01096,0.40785,,,,
10/14/22 16:12,287.67531,288,682.2,0.02958,2.65502,0.97266,NOR_4,N,T,540.19,545.4,2162696.136,0,0.0026,0.48742,PercChange,,PercCHange,
10/14/22 15:54,287.66284,288,682.2,0.01102,1.67199,0.9928,NOR_5,N,F,534.41,539.35,2163577.5,0,0.00225,0.19073,232.61972,,54.05967336,
10/14/22 16:00,287.66688,288,682.2,0.0276,2.37471,0.97929,NOR_6,N,T,538.11,542.76,2157897,0,0.01803,0.65418,,,,
10/3/22 14:40,276.61123,277,591.22,1.04525,1.72577,0.99184,Nor1,N,F,562.03,567.44,2148998.227,0,0.01696,0.65548,AVGS,,AVGS by jar,
10/6/22 14:56,279.62231,280,591.2,0.48428,4.31843,0.92174,Nor1,N,F,571.64,577.07,2145543.864,0,0.00317,0.42953,0.659664,,2.203088,
10/21/22 13:53,294.57884,295,591.22,0.80988,2.37499,0.97919,Nor1,N,F,539.38,544.17,2161132.091,0,0.00222,0.15141,2.316026667,,4.485228333,
10/25/22 14:48,298.61721,299,591.22,0.98188,2.34263,0.98001,Nor1,N,F,525.35,530.21,2163090.727,0,0.00281,0.17678,3.041535,,1.12727,
10/28/22 11:17,301.47057,301,591.22,1.01097,2.55945,0.9749,Nor1,N,F,532.14,536.97,2158948.364,0,0.00249,0.17642,3.117795,,0.970586667,
10/3/22 14:42,276.61273,277,591.2,0.99638,2.07912,0.98543,Nor2,N,F,535.79,540.38,2148012.5,0,0.00256,0.29262,0.908958333,,2.195721667,
10/6/22 14:58,279.62406,280,591.2,1.14571,2.00489,0.98692,Nor2,N,F,493.62,503.94,2188743.545,0,0.00289,0.06955,4.05197,,2.876123333,
10/21/22 13:55,294.58037,295,591.22,0.76423,2.28376,0.98117,Nor2,N,F,432.48,437.51,2205750.136,0,0.00265,0.1611,,,,
10/25/22 14:50,298.61873,299,591.22,0.92111,2.28213,0.98123,Nor2,N,F,444.87,450.35,2196362.545,0,0.00688,0.60453,,,,
10/28/22 11:19,301.47203,301,591.22,0.81118,2.45388,0.97727,Nor2,N,F,434.76,439.86,2201704.636,0,0.01158,0.7523,,,,
